ESTIMATED_VALUE_OF_PROJECT,ALTERNATE_BUILDING_TYPE
750000,"OTHER RETAIL"
44000,"SINGLE UNIT DWELLING"
20000,"MULTI-UNIT DWELLING"
15000,"TWO UNIT DWELLING"
320000,"SINGLE UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
666300,OFFICE
280000,"SINGLE UNIT DWELLING"
130000,"SINGLE UNIT DWELLING"
0,"TWO UNIT DWELLING"
7500000,OFFICE
57134,"TWO UNIT DWELLING"
3000,"SINGLE UNIT DWELLING"
82500,"MIXED RES/COMM"
24000,"TWO UNIT DWELLING"
24000,"TWO UNIT DWELLING"
1500,"MULTI-UNIT DWELLING"
222000,"SINGLE UNIT DWELLING"
0,OFFICE
35000,"STRIP MALL"
24000,"MULTI-UNIT DWELLING"
24000,"MULTI-UNIT DWELLING"
60000,"MIXED RES/COMM"
80000,"SINGLE UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
28000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
50000,"SINGLE UNIT DWELLING"
270000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
500,"MULTI-UNIT DWELLING"
300000,"MULTI-UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
33900,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
30000,"MULTI-UNIT DWELLING"
40000,"OTHER SERVICE"
0,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
335000,OBSERVATORY
110000,"SINGLE UNIT DWELLING"
65000,"MULTI COMMERCIAL"
1500,BAR/RESTAURANT
12500,"SINGLE UNIT DWELLING"
145000,OFFICE
0,OFFICE
20000,"SINGLE UNIT DWELLING"
67000,TOWNHOUSE
160000,"TWO UNIT DWELLING"
1500,"MIXED RES/COMM"
15000,"ACCESSORY BUILDING"
12000,OFFICE
1040000,"OTHER RETAIL"
2000000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
15300,"GAS STATION"
36000,"SINGLE UNIT DWELLING"
1200,"TWO UNIT DWELLING"
0,"OTHER SERVICE"
165000,"SINGLE UNIT DWELLING"
30000,"OTHER SERVICE"
200000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
600,"TWO UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
1500,"MULTI-UNIT DWELLING"
450000,"SINGLE UNIT DWELLING"
275000,"MULTI COMMERCIAL"
50000,"TWO UNIT DWELLING"
60000,"OTHER RETAIL"
0,"STRIP MALL"
400000,"SINGLE UNIT DWELLING"
118000,"MEDICAL OFFICE"
20000,"OTHER SERVICE"
100,"MULTI COMMERCIAL"
175000,"SINGLE UNIT DWELLING"
440000,LABORATORY/RESEARCH
36000,"ACCESSORY BUILDING"
800,"PRIVATE CLUB"
200000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
55900,"MULTI-UNIT DWELLING"
86000,"MULTI-UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
7000,"ACCESSORY BUILDING"
650000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
18000,"TWO UNIT DWELLING"
1500,"ACCESSORY BUILDING"
9807,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
38000,"SINGLE UNIT DWELLING"
100,"TWO UNIT DWELLING"
9000,"STRIP MALL"
180000,"SINGLE UNIT DWELLING"
160000,"TWO UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
0,OFFICE
200000,"MULTI-UNIT DWELLING"
60000,"SHOPPING CENTRE"
15000,"TWO UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
0,"OTHER RETAIL"
0,"MULTI COMMERCIAL"
170000,"SINGLE UNIT DWELLING"
311000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
1100000,"OTHER RETAIL"
2500,BAR/RESTAURANT
17000,"ACCESSORY BUILDING"
15600,"SINGLE UNIT DWELLING"
16000,"TWO UNIT DWELLING"
13000,"ACCESSORY BUILDING"
118000,"TWO UNIT DWELLING"
7800,"SINGLE UNIT DWELLING"
14500,"ACCESSORY BUILDING"
10000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
11000,"SINGLE UNIT DWELLING"
9500,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
20000,"STRIP MALL"
140000,DAYCARE
15000,"STRIP MALL"
200000,"SINGLE UNIT DWELLING"
20000,"TWO UNIT DWELLING"
3000,"ACCESSORY BUILDING"
320000,"SINGLE UNIT DWELLING"
55400,"TWO UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
4000,"ACCESSORY BUILDING"
125000,"SINGLE UNIT DWELLING"
4400,"SINGLE UNIT DWELLING"
75000,"SINGLE UNIT DWELLING"
12000,GREENHOUSE
325000,"SINGLE UNIT DWELLING"
400000,"PLACE OF WORSHIP"
180000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
120000,OFFICE
76000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
0,BAR/RESTAURANT
50000,"ACCESSORY BUILDING"
330000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
70000,"REPAIR GARAGE"
0,BAR/RESTAURANT
235000,"MULTI COMMERCIAL"
15000,"ACCESSORY BUILDING"
300000,"TWO UNIT DWELLING"
80000,"MIXED RES/COMM"
3000,"SINGLE UNIT DWELLING"
24000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
500,"MULTI-UNIT DWELLING"
1049000,"ACCESSORY BUILDING"
564700,"ACCESSORY BUILDING"
53500,"ACCESSORY BUILDING"
12500,"SINGLE UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
13000,"SINGLE UNIT DWELLING"
218000,"OTHER RETAIL"
35000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
165000,"SINGLE UNIT DWELLING"
7500,"SINGLE UNIT DWELLING"
900000,"STRIP MALL"
275000,"SINGLE UNIT DWELLING"
50000,"GAS STATION"
3000,"ACCESSORY BUILDING"
9500,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
50000,"MULTI COMMERCIAL"
4600,"SINGLE UNIT DWELLING"
17000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
270000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
50000,BAR/RESTAURANT
90000,"SHOPPING CENTRE"
478000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
13300,"MULTI COMMERCIAL"
37000,OFFICE
21000,"MIXED RES/COMM"
395000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
9249460,"MIXED RES/COMM"
100,"SINGLE UNIT DWELLING"
1000,"SINGLE UNIT DWELLING"
158000,"SINGLE UNIT DWELLING"
30000,"PRIVATE SCHOOL"
12000,"SINGLE UNIT DWELLING"
1000,"ACCESSORY BUILDING"
250000,"MULTI COMMERCIAL"
120000,"MULTI COMMERCIAL"
240000,"SINGLE UNIT DWELLING"
35000,"TWO UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
325000,"TWO UNIT DWELLING"
26000,"TWO UNIT DWELLING"
10846,"SINGLE UNIT DWELLING"
26500,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
60000,"AIRPORT TERMINAL"
5000,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
250000,"SINGLE UNIT DWELLING"
18000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
85000,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
1000,"MOBILE HOME"
6329928,OFFICE
13000,"ACCESSORY BUILDING"
20000,"ACCESSORY BUILDING"
500,"SINGLE UNIT DWELLING"
5000,BAR/RESTAURANT
0,"MIXED RES/COMM"
45000,"MULTI COMMERCIAL"
6000,"TWO UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
270000,"SINGLE UNIT DWELLING"
130000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
420000,"TWO UNIT DWELLING"
300000,"TWO UNIT DWELLING"
65000,"GAS STATION"
0,"MULTI COMMERCIAL"
2800000,WAREHOUSE
100,"OTHER RETAIL"
75000,BAR/RESTAURANT
15000,OFFICE
28000,OFFICE
300000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
10000,WAREHOUSE
375000,"SINGLE UNIT DWELLING"
220000,"TWO UNIT DWELLING"
290000,"SINGLE UNIT DWELLING"
9000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
14500,"ACCESSORY BUILDING"
25000,"SINGLE UNIT DWELLING"
100000,"TWO UNIT DWELLING"
16800,"ACCESSORY BUILDING"
400,"SINGLE UNIT DWELLING"
156711,"MOBILE HOME"
14000,"ACCESSORY BUILDING"
215000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
6000,"SINGLE UNIT DWELLING"
18000,"ACCESSORY BUILDING"
110000,"SINGLE UNIT DWELLING"
35000,"MULTI-UNIT DWELLING"
10000,"ACCESSORY BUILDING"
12000,"ACCESSORY BUILDING"
300000,"TWO UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
450000,"SINGLE UNIT DWELLING"
170000,"SINGLE UNIT DWELLING"
190000,SUPERMARKET
19500,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
10000,"MULTI COMMERCIAL"
70000,"SINGLE UNIT DWELLING"
7000,"MULTI COMMERCIAL"
180000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
170000,"SINGLE UNIT DWELLING"
400000,"MULTI-UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
17509586,"MULTI-UNIT DWELLING"
98000,"STRIP MALL"
34500,"MULTI COMMERCIAL"
106000,"SINGLE UNIT DWELLING"
225000,"SINGLE UNIT DWELLING"
168852,"MOBILE HOME"
390000,"SINGLE UNIT DWELLING"
270000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
50000,"SINGLE UNIT DWELLING"
325000,"MULTI COMMERCIAL"
540000,TOWNHOUSE
0,"PARKING STRUCTURE"
225000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
450000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
190000,OFFICE
180000,"SINGLE UNIT DWELLING"
12000,"ACCESSORY BUILDING"
402000,OFFICE
46500,"MULTI-UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
475000,"SINGLE UNIT DWELLING"
900000,"OTHER SERVICE"
300000,"TWO UNIT DWELLING"
200000,"AGRICULTURE FACILITY"
275000,OFFICE
190000,"SINGLE UNIT DWELLING"
28000,"ACCESSORY BUILDING"
250000,"SINGLE UNIT DWELLING"
1000,"SINGLE UNIT DWELLING"
8500,"ACCESSORY BUILDING"
2000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
40000,"SINGLE UNIT DWELLING"
11000,"ACCESSORY BUILDING"
43800,"MULTI-UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
0,"STRIP MALL"
35000,"ACCESSORY BUILDING"
130000,"TWO UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
30000,"TWO UNIT DWELLING"
15000,"AIRPORT TERMINAL"
14000,"SINGLE UNIT DWELLING"
130000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
75000,"STRIP MALL"
17000,"ACCESSORY BUILDING"
55000,"MIXED RES/COMM"
12000,"ACCESSORY BUILDING"
81000,"SINGLE UNIT DWELLING"
320000,"SINGLE UNIT DWELLING"
0,BAR/RESTAURANT
280000,"SINGLE UNIT DWELLING"
132000,"MOBILE HOME"
14000,"AUTO DEALERSHIP"
750000,TOWNHOUSE
53000,"STRIP MALL"
0,"ACCESSORY BUILDING"
15000,"MULTI-UNIT DWELLING"
75000,"SINGLE UNIT DWELLING"
460000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
9000,"ACCESSORY BUILDING"
280000,"SINGLE UNIT DWELLING"
100,"OTHER RETAIL"
150000,"SINGLE UNIT DWELLING"
0,"PRIVATE CLUB"
0,"MULTI COMMERCIAL"
100,"ACCESSORY BUILDING"
193000,"REPAIR GARAGE"
20000,"SINGLE UNIT DWELLING"
30000,BAR/RESTAURANT
0,"MIXED RES/COMM"
34500,"MULTI COMMERCIAL"
210000,"SINGLE UNIT DWELLING"
420000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
154100,"RECREATION FACILITY"
70000,"TWO UNIT DWELLING"
238000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
260000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
4200000,"MULTI-UNIT DWELLING"
17000,"SINGLE UNIT DWELLING"
50000,"ACCESSORY BUILDING"
150000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
450000,"MULTI-UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
95000,"MULTI COMMERCIAL"
300000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
6600,"ACCESSORY BUILDING"
60000,"SINGLE UNIT DWELLING"
15000,"MULTI-UNIT DWELLING"
17000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
140000,"SINGLE UNIT DWELLING"
12000,"ACCESSORY BUILDING"
23000,"MULTI COMMERCIAL"
420000,HOTEL/MOTEL
650000,HOTEL/MOTEL
25000,OFFICE
38000,OFFICE
10000,"ACCESSORY BUILDING"
75000,BAR/RESTAURANT
350000,"SINGLE UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
450000,"SINGLE UNIT DWELLING"
51000,"MULTI-UNIT DWELLING"
51000,"MULTI-UNIT DWELLING"
51000,"MULTI-UNIT DWELLING"
51000,"MULTI-UNIT DWELLING"
51000,"MULTI-UNIT DWELLING"
51000,"MULTI-UNIT DWELLING"
51000,"MULTI-UNIT DWELLING"
51000,"MULTI-UNIT DWELLING"
125000,"MOBILE HOME"
51000,"MULTI-UNIT DWELLING"
25000,"ACCESSORY BUILDING"
400000,"SINGLE UNIT DWELLING"
4000,"ACCESSORY BUILDING"
16000,"ACCESSORY BUILDING"
20000,"MULTI COMMERCIAL"
40000,"TREATMENT PLANT"
380000,"SINGLE UNIT DWELLING"
650000,HOTEL/MOTEL
24000,"SINGLE UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
7000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
60000,OFFICE
41000,"SINGLE UNIT DWELLING"
210000,"MULTI-UNIT DWELLING"
55000,"TWO UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
8000,"ACCESSORY BUILDING"
250000,"MIXED RES/COMM"
4000000,"MULTI-UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
375000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
95000,"MIXED RES/COMM"
300000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
137406,"MOBILE HOME"
215000,"SINGLE UNIT DWELLING"
13000,"ACCESSORY BUILDING"
14000,"ACCESSORY BUILDING"
150000,"SINGLE UNIT DWELLING"
310000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
1500,"TWO UNIT DWELLING"
0,OFFICE
1000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
0,"MULTI-UNIT DWELLING"
10000,"ACCESSORY BUILDING"
195000,"SINGLE UNIT DWELLING"
75000,"MULTI-UNIT DWELLING"
32000,"SINGLE UNIT DWELLING"
18000,"BOARDING HOUSE"
750000,"MULTI-UNIT DWELLING"
750000,"MULTI-UNIT DWELLING"
750000,"MULTI-UNIT DWELLING"
750000,"MULTI-UNIT DWELLING"
750000,"MULTI-UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
320000,"SINGLE UNIT DWELLING"
2500,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
3500,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
0,"MULTI-UNIT DWELLING"
100000,"MULTI COMMERCIAL"
48000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
25000,"TWO UNIT DWELLING"
0,"ACCESSORY BUILDING"
81000,OFFICE
40500,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
13500,"OTHER RETAIL"
100,GREENHOUSE
20000,"SINGLE UNIT DWELLING"
100000,OFFICE
245000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
90000,"OTHER SERVICE"
300000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
145695,"MOBILE HOME"
4500,"SINGLE UNIT DWELLING"
17000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
100,"ACCESSORY BUILDING"
150000,"SINGLE UNIT DWELLING"
250000,"TWO UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
7000,"MULTI-UNIT DWELLING"
200000,"MULTI-UNIT DWELLING"
125000,"SINGLE UNIT DWELLING"
28000,"ACCESSORY BUILDING"
40000,OFFICE
0,"PARKING STRUCTURE"
400000,"SINGLE UNIT DWELLING"
22000,"ACCESSORY BUILDING"
28000,"ACCESSORY BUILDING"
230000,"SINGLE UNIT DWELLING"
68000,"MULTI COMMERCIAL"
483000,"REPAIR GARAGE"
10000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
121000,"STRIP MALL"
1700000,"MIXED RES/COMM"
305000,"SINGLE UNIT DWELLING"
120000,"SINGLE UNIT DWELLING"
70000,"SINGLE UNIT DWELLING"
250000,"MIXED RES/COMM"
65000,"ACCESSORY BUILDING"
0,"PARKING STRUCTURE"
135000,"SINGLE UNIT DWELLING"
18000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
250000,BAR/RESTAURANT
30000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
60000,OFFICE
75000,OFFICE
56000,"SINGLE UNIT DWELLING"
4000,OFFICE
350000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
90000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
7500,"MOBILE HOME"
450000,"MULTI-UNIT DWELLING"
274000,OFFICE
180000,"SINGLE UNIT DWELLING"
100,"OTHER RETAIL"
180000,"SINGLE UNIT DWELLING"
37000,"SINGLE UNIT DWELLING"
1000,"MULTI COMMERCIAL"
30000,"MULTI COMMERCIAL"
15000,"SINGLE UNIT DWELLING"
43000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
6675000,"OTHER RETAIL"
220000,"TWO UNIT DWELLING"
100000,"TWO UNIT DWELLING"
70000,"OTHER RETAIL"
130000,"SINGLE UNIT DWELLING"
100,"OTHER RETAIL"
5500,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
125000,"SINGLE UNIT DWELLING"
15000,"TWO UNIT DWELLING"
32000,"SINGLE UNIT DWELLING"
450000,"MULTI-UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
0,"MIXED RES/COMM"
0,"COMMERCIAL STORAGE"
59000,"SINGLE UNIT DWELLING"
14000,OFFICE
300000,"SINGLE UNIT DWELLING"
235000,"OTHER SERVICE"
120000,"AIRPORT TERMINAL"
8500,"OTHER RETAIL"
6970,"SINGLE UNIT DWELLING"
12000,"SINGLE UNIT DWELLING"
1400,"COMMUNITY CENTRE"
175000,"SINGLE UNIT DWELLING"
1200000,"OTHER RETAIL"
0,"MULTI COMMERCIAL"
20000,"ACCESSORY BUILDING"
55000,"SINGLE UNIT DWELLING"
1000,"STRIP MALL"
70000,"SINGLE UNIT DWELLING"
450000,"SINGLE UNIT DWELLING"
0,"TWO UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
450000,"SINGLE UNIT DWELLING"
19083492,HOTEL/MOTEL
35000,"ACCESSORY BUILDING"
50000,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
260000,"SINGLE UNIT DWELLING"
40000,"ACCESSORY BUILDING"
180000,"SINGLE UNIT DWELLING"
6000,"MULTI-UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
1500,"OTHER SERVICE"
150000,"PLACE OF WORSHIP"
8000,"MULTI COMMERCIAL"
150000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
70000,"SINGLE UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
0,"MIXED RES/COMM"
0,"MIXED RES/COMM"
15750,"SINGLE UNIT DWELLING"
25000,"MULTI-UNIT DWELLING"
500,"SINGLE UNIT DWELLING"
24000,"TWO UNIT DWELLING"
20000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
0,"MIXED RES/COMM"
99000,WAREHOUSE
64000,"SINGLE UNIT DWELLING"
28000,OFFICE
10000,"SINGLE UNIT DWELLING"
90000,"MOBILE HOME"
75000,"MULTI-UNIT DWELLING"
13000,"SINGLE UNIT DWELLING"
475000,"OTHER RETAIL"
0,BAR/RESTAURANT
375000,"SINGLE UNIT DWELLING"
75000,"TWO UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
50000,"TWO UNIT DWELLING"
20000,"TWO UNIT DWELLING"
8000,"ACCESSORY BUILDING"
85000,"MOBILE HOME"
20000,"ACCESSORY BUILDING"
200000,"MULTI-UNIT DWELLING"
15000,BAR/RESTAURANT
221000,"SINGLE UNIT DWELLING"
3000,"SINGLE UNIT DWELLING"
50000,"OTHER SERVICE"
0,OFFICE
342000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
17000,"SINGLE UNIT DWELLING"
600000,"MULTI-UNIT DWELLING"
600000,TOWNHOUSE
10000,BAR/RESTAURANT
250000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
22485,"ACCESSORY BUILDING"
17821,"ACCESSORY BUILDING"
125000,"MULTI COMMERCIAL"
80000,"COMMERCIAL STORAGE"
110000,"MOBILE HOME"
120000,OFFICE
75000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
115000,"ACCESSORY BUILDING"
60000,"SINGLE UNIT DWELLING"
0,WAREHOUSE
200000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
73000,"TWO UNIT DWELLING"
11000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
1794000,OFFICE
12000,"ACCESSORY BUILDING"
20000,"ACCESSORY BUILDING"
13000,"ACCESSORY BUILDING"
110000,"TWO UNIT DWELLING"
8000,"ACCESSORY BUILDING"
0,"OTHER SERVICE"
10000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
25000,"MULTI-UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
200000,"REPAIR GARAGE"
15000,"MULTI COMMERCIAL"
1,"MULTI COMMERCIAL"
10000,"SINGLE UNIT DWELLING"
100,"ACCESSORY BUILDING"
33350,"MULTI-UNIT DWELLING"
195000,"SINGLE UNIT DWELLING"
50000,"MULTI COMMERCIAL"
30000,"MOBILE HOME"
100000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
0,"PLACE OF WORSHIP"
250000,"MIXED RES/COMM"
175000,"SINGLE UNIT DWELLING"
85000,"MOBILE HOME"
10000,"ACCESSORY BUILDING"
60000,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
0,"MIXED RES/COMM"
0,"SINGLE UNIT DWELLING"
120000,"SINGLE UNIT DWELLING"
70000,"TWO UNIT DWELLING"
30000,"ACCESSORY BUILDING"
20000,"MULTI-UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
120000,BREWERY
40000,OFFICE
14919,"ACCESSORY BUILDING"
250000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
85000,"MULTI COMMERCIAL"
4980,"MULTI-UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
15000,"TWO UNIT DWELLING"
23986,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
330000,"SINGLE UNIT DWELLING"
9500,"TWO UNIT DWELLING"
15000,"MULTI COMMERCIAL"
300000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
95000,"MULTI-UNIT DWELLING"
55000,"ACCESSORY BUILDING"
20000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
150000,DAYCARE
26000,"ACCESSORY BUILDING"
0,"TWO UNIT DWELLING"
60000,"ACCESSORY BUILDING"
50000,"MULTI COMMERCIAL"
39000,"OTHER RETAIL"
5000,"ACCESSORY BUILDING"
328000,"MULTI-UNIT DWELLING"
550000,"MULTI-UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
